"relative_path","size_bytes","sha256"
"analysis/filter_response_embeddings_by_input.py","4622","3074b57d0e1084f6b946937631210bc7219ef6e964e387964ecdb61686ef9160"
"analysis/run_final_response_only_divi_shap.py","21541","c8d08de6bea8f62b2b22b00a3a1cb3d50dba806af9bea3e42819a2b0145245d1"
"analysis/summarize_latest_divi_shap.py","8301","5b544eab92fc1a07125c8ebf064a94df4391b70c44aed8163d00a7294558061e"
"config/.env.example","55","b8e09b9bb9183f02179e9449bc332c4a9eed69ce078624318c933b541b5797fb"
"config/models.yaml","2929","9b3c981a967fcb6c4996ff5edf71973b038396c3a71e8f254bd14688a34b69a3"
"data/divi_shap_input/counts_by_classification.csv","312","a35d8aa41dcc05d5b5d72013b2266a57e8905bf1cb886b3016e335a56623ff65"
"data/divi_shap_input/divi_shap_hard_artifact_candidates.csv","1301635","4db6a0e8e91f2ab6e4edc1de67ee135506309844be4da067503b27371f67f738"
"data/divi_shap_input/divi_shap_response_only_input_no_hard_artifact_candidates.csv","105756342","fcf19fec16f974c1449004f31407bdbebaf9e3ba779669ddce32b725030de827"
"data/divi_shap_input/hard_artifact_excluded_row_ids.csv","708436","eb12ce7f0372b208228dca2d57161b2331db3e6b41a7f25b7872e5002a44bc64"
"data/divi_shap_input/quality_summary.csv","325","7f210243accee850c3b9cf2bfc986d9a8914cbd5817971d849b8e9c05f4698cf"
"data/divi_shap_input/summary_by_track_a_attack_method.csv","1254","5cff6537bc96685c2d2f843aada9de2ff26e505c2a55b7009c5d488e4ac0707c"
"data/divi_shap_input/summary_by_track_b_mutation.csv","325","58d4ce493f27dfc88c7d3b227a362e5f53ff0d550b2e762dc439c49959685a77"
"data/divi_shap_input/summary_by_track_model_no_hard_artifacts.csv","761","e6be21b8787725b73d1fe56efe96bbd5f073d7d381c670a991d9705ac8b1fc61"
"data/divi_shap_input/summary_by_track_phase_no_hard_artifacts.csv","112","b9bb77d8d371611b82dcb7137d107720846624b9326346ccdbf0ad4cb3434ebd"
"data/final_judged/ab_second_judge_full_final_valid.csv","68352617","638ec866c15ee5122b5c0f97c90b893f6dcfe954f5386294d1fe79ed83877429"
"data/final_judged/ab_second_judge_summary_final.csv","2684","58f5428e29d2fc75ac66b3a9b58d06418d67734bed36747052d4e3f5db3e6668"
"data/final_judged/README.md","658","ea266cee4d880766e92b4f40d24ae493d03210f4d55ec30acfb7d6e873f7d1e0"
"data/quality_manifest/excluded_row_ids.csv","64576","91bb627fff7982b14f6291463aecce8f507dd70bb18c8e92c1f4bbcdb7c8c690"
"data/quality_manifest/included_row_ids.csv","4742533","b3baf1f35cd0f3bd37daad9915b20131868be82b50fd9e4648c9851bc4fb5dfe"
"data/quality_manifest/quality_summary.csv","163","30fe46150918960293d7e3bc0f144de6f0c2ed7a2ab9d0b558415f108025b8e4"
"data/quality_manifest/unexpected_retained_row_ids.csv","54","a0886aeb279bfb4eec12233cb42d43e31984d52651275a50152b63f32bc279bb"
"docs/ARTIFACT_STRUCTURE.md","1298","a8f8f9b4198a4d821b6b105a106e97d2a6be33d0737021cf9da72ffa5373e2dc"
"docs/DIVI_SHAP_REPORTING.md","2481","c5ca8962745a73afb7e5ae89ab67dd200fccae5900799a695df2b4fc6e30adbb"
"paper/main.pdf","321922","9c16036b11075926822573a9cf6b8e6ec038b5b8a96c66afd1f62f7c359a99a6"
"paper/main.tex","59581","876f43f178627aa558f01dcb4a0b5cc297a006f443ffd3275937df44bee281c8"
"paper/references.bib","14793","f921d06461f35bf67769e221aea6ebf0782f9a7959f94a84cacbc03659f63297"
"README.md","2558","ac57eae84ba8133feec209e775c5a5686059fbcc8bb61645b138411d9d00827f"
"REPRODUCE.md","3723","0f6219bb8a7e71ecefc1fa843134b0ab8ec81835909fedee90c65cb524fa0733"
"requirements.txt","71","500bacc7047f704980c121a8b20df4694eb799bd863e0f58d40696634ff0ccb7"
"results/divi_run_no_hard_20260602_seed42/cluster_assignments_response_only.csv","3376847","85bb7c541305aa74532f001ddbf271f5392a44b23eb8c6445fb415b639b38757"
"results/divi_run_no_hard_20260602_seed42/cluster_labels.npy","165048","e1da1134e0323d895ab9748b3486d1e3af5f119bf9368c9100f94bbed0d75463"
"results/divi_run_no_hard_20260602_seed42/cluster_summary_response_only.csv","19074","c7425cb574c99a386a083df9aac98f38925942226525ce2f64ce27089366060f"
"results/divi_run_no_hard_20260602_seed42/cluster_summary_response_only.json","33730","a38d13f9cc43c4be5e09b789e92a21ebc0ba96680b134c3e6db51cc69bc36e00"
"results/divi_run_no_hard_20260602_seed42/clustered_traces_response_only.json","63750610","f9276d10cb1a183b66bfc7a4cc9dff22f3e7cb5b8be3e88bf10473d749dc7599"
"results/divi_run_no_hard_20260602_seed42/filtered_embedding_summary.json","500","13e0bfef49d8e4fb2835b8bcd3a4496cb8d43e3fd387606740a8261aba5f3d38"
"results/divi_run_no_hard_20260602_seed42/response_divi_features.npy","63329408","dbcb9ca3dcb43106a5b94125f272b03a5dec46e25bc900ca705a0981563acfc2"
"results/divi_run_no_hard_20260602_seed42/response_embeddings.npy","63329408","46f8d1a45ae09d59c9e805c1d7fe5585f7634460d6ebb17043be23394cc6e626"
"results/divi_run_no_hard_20260602_seed42/response_metadata.json","63357028","42baa41b05ac50c58b19e737576b5d64287267b0ceacaac0ca0da1fd93fd0cf0"
"results/divi_run_no_hard_20260602_seed42/shap_response_only.json","31670","0fd302b0b72909fe12dba527110da09340a4288e07691a8c2ab813f8047e5be7"
"results/latest_divi_shap_20260602/latest_divi_cluster_summary.csv","25932","360d7b398c81f1f6778254b759a559995ed80b602cbb72731f8a4cb889949360"
"results/latest_divi_shap_20260602/latest_divi_shap_reporting_summary.md","1495","e82aa740068711be6ab9350f62a707946ffc45116171199f34001af08354e122"
"results/latest_divi_shap_20260602/latest_shap_content_tokens.csv","6325","960aaf5966b92700f0bd4d3d2c27c0f8668d9738cd00e407717821a44ecb54af"
"results/latest_divi_shap_20260602/latest_shap_tokens_raw.csv","12547","9e44acc76b17a32ce60119841eb8bb43e9920924c2ebaa357331c9c658b8277c"
"results/latest_divi_shap_20260602/latest_track_model_asr.csv","761","e6be21b8787725b73d1fe56efe96bbd5f073d7d381c670a991d9705ac8b1fc61"
"results/latest_divi_shap_20260602/latest_track_phase_asr.csv","112","b9bb77d8d371611b82dcb7137d107720846624b9326346ccdbf0ad4cb3434ebd"
"scripts/build_divi_shap_input.py","17129","e6fc4ec729c2ba7da1e5147c495b2ad625444c8a30e5c0c7e35d478167ca1ef2"
"scripts/build_quality_corpus_manifest.py","8210","623e03e4fa35e1b709336930a0b3ba3382372d8550ade3195bae0c3145d587f4"
"scripts/rejudge_ab_results.py","29197","7451b132d025f8b3e977f30950fa9eb1f516aee787a11d936ac1ba6330ee91cb"
"scripts/summarize_second_judge_asr.py","8842","8a2040eaf05a59685c9791dfad00a21fafeb9e4ad73a8fada07931f168349074"
"track_a/src/DIVI/DIVI.py","14525","ae9633d0deccc4f4ee334a68b51ea8d6e72c5baec6ff1fbd75fadd4928a40700"
"track_a/src/DIVI/DIVI_V2.py","15672","431c3ceb493064f1d3bb756f5843f98116fc305a69a97ae71b530e8e17a92263"
