hard_artifact_candidate,track,phase,model_label,total,success,asr_pct
0,A,none,Gemma-3-TAIDE-12b-Chat__bf16,508,299,58.86
0,A,none,breeze2-8b__bf16,508,292,57.48
0,A,none,ds-qwen-7b__bf16,455,375,82.42
0,A,none,gemma-3-27b__bf16,508,433,85.24
0,A,none,gemma-3-4b__bf16,511,433,84.74
0,A,none,gpt-oss-120b__bf16,519,31,5.97
0,A,none,gpt-oss-20b__bf16,520,37,7.12
0,A,none,llama-3.2-3b__bf16,517,117,22.63
0,A,none,qwen3-32b__bf16,500,388,77.60
0,A,none,qwen3-8b__bf16,500,397,79.40
0,B,focus,Gemma-3-TAIDE-12b-Chat__bf16,1040,758,72.88
0,B,focus,breeze2-8b__bf16,1040,591,56.83
0,B,focus,ds-qwen-7b__bf16,1040,733,70.48
0,B,focus,gemma-3-27b__bf16,1040,866,83.27
0,B,focus,gemma-3-4b__bf16,1040,828,79.62
0,B,focus,gpt-oss-120b__bf16,1040,14,1.35
0,B,focus,gpt-oss-20b__bf16,1020,24,2.35
0,B,focus,llama-3.2-3b__bf16,1040,213,20.48
0,B,focus,qwen3-32b__bf16,1040,670,64.42
0,B,focus,qwen3-8b__bf16,1040,631,60.67
0,B,init,Gemma-3-TAIDE-12b-Chat__bf16,520,369,70.96
0,B,init,breeze2-8b__bf16,520,262,50.38
0,B,init,ds-qwen-7b__bf16,519,382,73.60
0,B,init,gemma-3-27b__bf16,520,426,81.92
0,B,init,gemma-3-4b__bf16,520,433,83.27
0,B,init,gpt-oss-120b__bf16,520,28,5.38
0,B,init,gpt-oss-20b__bf16,510,29,5.69
0,B,init,llama-3.2-3b__bf16,520,101,19.42
0,B,init,qwen3-32b__bf16,520,335,64.42
0,B,init,qwen3-8b__bf16,520,319,61.35
1,A,none,ds-llama-8b__bf16,464,66,14.22
1,B,focus,ds-llama-8b__bf16,1040,223,21.44
1,B,init,ds-llama-8b__bf16,484,155,32.02
